A-Junior	A-Juniorin
Aachener	Aachenerin
Aarauer	Aarauerin
Aargauer	Aargauerin
Abbieger	Abbiegerin
Abbrecher	Abbrecherin
Abbrucharbeiter	Abbrucharbeiterin
Abbruchsieger	Abbruchsiegerin
Abdecker	Abdeckerin
Abendländer	Abendländerin
Abendschüler	Abendschülerin
Abenteurer	Abenteurerin
Abessinier	Abessinierin
Abfahrer	Abfahrerin
Abfahrtsläufer	Abfahrtsläuferin
Abfahrtstrainer	Abfahrtstrainerin
Abfahrtsweltmeister	Abfahrtsweltmeisterin
Abfallberater	Abfallberaterin
Abgänger	Abgängerin
Abholer	Abholerin
Abhörer	Abhörerin
Abhörspezialist	Abhörspezialistin
Abiturient	Abiturientin
Abkassierer	Abkassiererin
Ableser	Ableserin
Abmahner	Abmahnerin
ABMler	ABMlerin
Abnehmer	Abnehmerin
Abnicker	Abnickerin
Abolitionist	Abolitionistin
Abonnent	Abonnentin
Abräumer	Abräumerin
Abrichter	Abrichterin
Absahner	Absahnerin
Abschiebekandidat	Abschiebekandidatin
Abschlussprüfer	Abschlussprüferin
Abschreiber	Abschreiberin
Absender	Absenderin
Absolutist	Absolutistin
Absolvent	Absolventin
Abstauber	Abstauberin
Absteiger	Absteigerin
Abstiegskandidat	Abstiegskandidatin
Abstinenzler	Abstinenzlerin
Absurdist	Absurdistin
Abteilungschef	Abteilungschefin
Abteilungsdirektor	Abteilungsdirektorin
Abtreibungsgegner	Abtreibungsgegnerin
Abwäscher	Abwäscherin
Abwehrchef	Abwehrchefin
Abwehrspezialist	Abwehrspezialistin
Abwehrspieler	Abwehrspielerin
Abweichler	Abweichlerin
Abwerber	Abwerberin
Abwesenheitspfleger	Abwesenheitspflegerin
Abwickler	Abwicklerin
Abzocker	Abzockerin
Achäer	Achäerin
Achtelfinalist	Achtelfinalistin
Achtklässer	Achtklässerin
Achtklassler	Achtklasslerin
Achtklässler	Achtklässlerin
Achtundsechziger	Achtundsechzigerin
Achtundvierziger	Achtundvierzigerin
Achtziger	Achtzigerin
Ackerbürger	Ackerbürgerin
Actionheld	Actionheldin
Adamit	Adamitin
Adept	Adeptin
Adjunkt	Adjunktin
Adjutant	Adjutantin
Administrator	Administratorin
Adoptant	Adoptantin
Adressant	Adressantin
Adressat	Adressatin
Adressenhändler	Adressenhändlerin
Adventist	Adventistin
Advokat	Advokatin
Aerodynamiker	Aerodynamikerin
Aeronaut	Aeronautin
Aeronautiker	Aeronautikerin
Affineur	Affineurin
Afrikaander	Afrikaanderin
Afrikaner	Afrikanerin
Afrikanist	Afrikanistin
Afroamerikaner	Afroamerikanerin
Aftermieter	Aftermieterin
Agent	Agentin
Agentenführer	Agentenführerin
Aggressor	Aggressorin
Agitationsredner	Agitationsrednerin
Agitator	Agitatorin
Agnostiker	Agnostikerin
Agrarier	Agrarierin
Agrarkommissar	Agrarkommissarin
Agrarminister	Agrarministerin
Agrartechniker	Agrartechnikerin
Agrarwissenschafter	Agrarwissenschafterin
Agrarwissenschaftler	Agrarwissenschaftlerin
Agronom	Agronomin
Agrotechniker	Agrotechnikerin
Ägypter	Ägypterin
Ährenleser	Ährenleserin
Aidspatient	Aidspatientin
Akademiker	Akademikerin
Akkordarbeiter	Akkordarbeiterin
Akkordeonist	Akkordeonistin
Akquisiteur	Akquisiteurin
Akteur	Akteurin
Aktfotograf	Aktfotografin
Aktienbesitzer	Aktienbesitzerin
Aktienhändler	Aktienhändlerin
Aktieninhaber	Aktieninhaberin
Aktienspekulant	Aktienspekulantin
Aktionär	Aktionärin
Aktionärsschützer	Aktionärsschützerin
Aktionärsvertreter	Aktionärsvertreterin
Aktionist	Aktionistin
Aktionskünstler	Aktionskünstlerin
Aktivbürger	Aktivbürgerin
Aktivist	Aktivistin
Aktuar	Aktuarin
Akustiker	Akustikerin
Akutmediziner	Akutmedizinerin
AKW-Betreiber	AKW-Betreiberin
AKW-Gegner	AKW-Gegnerin
Akzeptant	Akzeptantin
Akzidenzsetzer	Akzidenzsetzerin
Alarmist	Alarmistin
Alawit	Alawitin
Albaner	Albanerin
Albigenser	Albigenserin
Alchemist	Alchemistin
Alevit	Alevitin
Alexandriner	Alexandrinerin
Algebraiker	Algebraikerin
Algerier	Algerierin
Alkoholgegner	Alkoholgegnerin
Alkoholsünder	Alkoholsünderin
Alkolenker	Alkolenkerin
Alleinbesitzer	Alleinbesitzerin
Alleineigentümer	Alleineigentümerin
Alleinerzieher	Alleinerzieherin
Alleinflieger	Alleinfliegerin
Alleingänger	Alleingängerin
Alleingesellschafter	Alleingesellschafterin
Alleinherr	Alleinherrin
Alleinherrscher	Alleinherrscherin
Alleininhaber	Alleininhaberin
Alleinspieler	Alleinspielerin
Alleintäter	Alleintäterin
Alleinunterhalter	Alleinunterhalterin
Alleinverdiener	Alleinverdienerin
Alleinvertreter	Alleinvertreterin
Allerbarmer	Allerbarmerin
Allergiker	Allergikerin
Allesbesserwisser	Allesbesserwisserin
Allesesser	Allesesserin
Allesfresser	Allesfresserin
Alleskönner	Alleskönnerin
Alleswisser	Alleswisserin
Allgäuer	Allgäuerin
Allgemeinmediziner	Allgemeinmedizinerin
Allianzpartner	Allianzpartnerin
Allopath	Allopathin
Allrounder	Allrounderin
Allroundmusiker	Allroundmusikerin
Allroundspieler	Allroundspielerin
Allroundsportler	Allroundsportlerin
Alltagsbegleiter	Alltagsbegleiterin
Almer	Almerin
Almosenempfänger	Almosenempfängerin
Alphabet	Alphabetin
Alphornbläser	Alphornbläserin
Alpingendarm	Alpingendarmin
Alpinist	Alpinistin
Alpinpolizist	Alpinpolizistin
Älpler	Älplerin
Altachtundsechziger	Altachtundsechzigerin
Altaktionär	Altaktionärin
Altardiener	Altardienerin
Altbayer	Altbayerin
Altbewerber	Altbewerberin
Altbundeskanzler	Altbundeskanzlerin
Altbundespräsident	Altbundespräsidentin
Altbundestrainer	Altbundestrainerin
Altbürger	Altbürgerin
Altbürgermeister	Altbürgermeisterin
Alteigentümer	Alteigentümerin
Altenaer	Altenaerin
Altenpfleger	Altenpflegerin
Altenteiler	Altenteilerin
Alternativler	Alternativlerin
Altersjubilar	Altersjubilarin
Alterspräsident	Alterspräsidentin
Altertümler	Altertümlerin
Altertumsforscher	Altertumsforscherin
Altertumswissenschaftler	Altertumswissenschaftlerin
Ältestenprediger	Ältestenpredigerin
Althändler	Althändlerin
Altkanzler	Altkanzlerin
Altkatholik	Altkatholikin
Altkleiderhändler	Altkleiderhändlerin
Altonaer	Altonaerin
Altrocker	Altrockerin
Altruist	Altruistin
Altsparer	Altsparerin
Altsprachler	Altsprachlerin
Alttestamentler	Alttestamentlerin
Altwarenhändler	Altwarenhändlerin
Amateur	Amateurin
Amateurboxer	Amateurboxerin
Amateurfilmer	Amateurfilmerin
Amateurfotograf	Amateurfotografin
Amateurfunker	Amateurfunkerin
Amateurfußballer	Amateurfußballerin
Amateursportler	Amateursportlerin
Ambassadeur	Ambassadeurin
Amerikanist	Amerikanistin
Amokfahrer	Amokfahrerin
Amokläufer	Amokläuferin
Amoralist	Amoralistin
Amsterdamer	Amsterdamerin
Amtschef	Amtschefin
Amtsdiener	Amtsdienerin
Amtsgerichtsdirektor	Amtsgerichtsdirektorin
Amtsgerichtspräsident	Amtsgerichtspräsidentin
Amtsinhaber	Amtsinhaberin
Amtsleiter	Amtsleiterin
Amtsnachfolger	Amtsnachfolgerin
Amtsrichter	Amtsrichterin
Amtsträger	Amtsträgerin
Amtsverweser	Amtsverweserin
Amtsvorgänger	Amtsvorgängerin
Amtsvorsteher	Amtsvorsteherin
Anabaptist	Anabaptistin
Anachronist	Anachronistin
Anakreontiker	Anakreontikerin
